rank,fold_name,model_name,image,level,suspicious_score,output_path,LabelError_PredError,LabelError_PredTrue,LabelTrue_PredError,LabelTrue_PredTrue,Mem,
27,fold_1,M23,160f656a-086c-544c-b1e1-07b84fb562df.jpg,drop,"0,6734177215",outputs/oof_official_image_audit/review_image_pairs/0027_drop_0.673_160f656a-086c-544c-b1e1-07b84fb562df.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
28,fold_3,M12,1a10aa30-13dc-510e-80ea-62d34ae3e685.jpg,drop,"0,6693599438",outputs/oof_official_image_audit/review_image_pairs/0028_drop_0.669_1a10aa30-13dc-510e-80ea-62d34ae3e685.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
29,fold_3,M12,b82541d0-f6f2-56ab-9325-7244563a8ab7.jpg,drop,"0,6615369925",outputs/oof_official_image_audit/review_image_pairs/0029_drop_0.662_b82541d0-f6f2-56ab-9325-7244563a8ab7.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
30,fold_2,M13,3c609d2c-8770-5044-bc69-00a10e84a06f.jpg,drop,"0,6609865471",outputs/oof_official_image_audit/review_image_pairs/0030_drop_0.661_3c609d2c-8770-5044-bc69-00a10e84a06f.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
31,fold_3,M12,74e5da2a-3075-5444-9b45-06022d8555ef.jpg,drop,"0,6598615917",outputs/oof_official_image_audit/review_image_pairs/0031_drop_0.660_74e5da2a-3075-5444-9b45-06022d8555ef.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
32,fold_2,M13,8c20077e-483b-55ee-a31d-832417a01957.jpg,drop,"0,6574074074",outputs/oof_official_image_audit/review_image_pairs/0032_drop_0.657_8c20077e-483b-55ee-a31d-832417a01957.jpg,FALSE,TRUE,FALSE,FALSE,Quốc Huy,
34,fold_3,M12,ce3b76f9-891d-5571-837c-63439292de2b.jpg,drop,"0,6496952955",outputs/oof_official_image_audit/review_image_pairs/0034_drop_0.650_ce3b76f9-891d-5571-837c-63439292de2b.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
35,fold_3,M12,f79972bd-f1c6-588c-95bb-e84b3c0379ba.jpg,drop,"0,6440366972",outputs/oof_official_image_audit/review_image_pairs/0035_drop_0.644_f79972bd-f1c6-588c-95bb-e84b3c0379ba.jpg,FALSE,TRUE,FALSE,FALSE,Quốc Huy,
36,fold_3,M12,a7f3c22b-a493-5455-aedc-81e4ef383158.jpg,drop,"0,6406593407",outputs/oof_official_image_audit/review_image_pairs/0036_drop_0.641_a7f3c22b-a493-5455-aedc-81e4ef383158.jpg,FALSE,TRUE,FALSE,FALSE,Quốc Huy,
40,fold_2,M13,1ee4e4ed-d932-5d62-a685-3751b6281363.jpg,drop,"0,6308374994",outputs/oof_official_image_audit/review_image_pairs/0040_drop_0.631_1ee4e4ed-d932-5d62-a685-3751b6281363.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
43,fold_2,M13,3f053d22-1f7c-5fd3-bb04-a55dda9abcd1.jpg,drop,"0,6204253962",outputs/oof_official_image_audit/review_image_pairs/0043_drop_0.620_3f053d22-1f7c-5fd3-bb04-a55dda9abcd1.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
47,fold_3,M12,56e6aa00-f110-4346-b5b9-460084c5fc58.jpg,drop,"0,5956187617",outputs/oof_official_image_audit/review_image_pairs/0047_drop_0.596_56e6aa00-f110-4346-b5b9-460084c5fc58.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
48,fold_2,M13,fc5642c7-97f3-5345-9460-5c13b4224eec.jpg,drop,"0,5906504065",outputs/oof_official_image_audit/review_image_pairs/0048_drop_0.591_fc5642c7-97f3-5345-9460-5c13b4224eec.jpg,FALSE,TRUE,FALSE,FALSE,Quốc Huy,
49,fold_2,M13,32cb2999-7967-5cb5-ba54-f831071de6f5.jpg,drop,"0,5904456051",outputs/oof_official_image_audit/review_image_pairs/0049_drop_0.590_32cb2999-7967-5cb5-ba54-f831071de6f5.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
50,fold_3,M12,83a1e725-1b72-4820-a527-bc97de8f2dbe.jpg,drop,"0,5885914703",outputs/oof_official_image_audit/review_image_pairs/0050_drop_0.589_83a1e725-1b72-4820-a527-bc97de8f2dbe.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
51,fold_1,M23,ed372266-e392-5d27-841d-7dc1d1ba2ef9.jpg,drop,"0,5873989973",outputs/oof_official_image_audit/review_image_pairs/0051_drop_0.587_ed372266-e392-5d27-841d-7dc1d1ba2ef9.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
53,fold_3,M12,f9a3b844-b885-4488-acf6-0f13e4d3c94a.jpg,drop,"0,5746149165",outputs/oof_official_image_audit/review_image_pairs/0053_drop_0.575_f9a3b844-b885-4488-acf6-0f13e4d3c94a.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
54,fold_1,M23,0da98e68-9272-5fc6-a337-69504bd15b3a.jpg,drop,"0,5692307692",outputs/oof_official_image_audit/review_image_pairs/0054_drop_0.569_0da98e68-9272-5fc6-a337-69504bd15b3a.jpg,FALSE,TRUE,FALSE,FALSE,Quốc Huy,
59,fold_3,M12,4ae4b876-82f2-4d0b-9285-1de39691ef34.jpg,drop,"0,5644274121",outputs/oof_official_image_audit/review_image_pairs/0059_drop_0.564_4ae4b876-82f2-4d0b-9285-1de39691ef34.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
61,fold_3,M12,77d74a13-50df-59ce-8c11-ab1a5ed1703c.jpg,drop,"0,5511415508",outputs/oof_official_image_audit/review_image_pairs/0061_drop_0.551_77d74a13-50df-59ce-8c11-ab1a5ed1703c.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
62,fold_2,M13,d85aeda1-393e-44af-b078-d869e0711adf.jpg,drop,"0,5509511006",outputs/oof_official_image_audit/review_image_pairs/0062_drop_0.551_d85aeda1-393e-44af-b078-d869e0711adf.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
63,fold_3,M12,cd346003-8212-5461-843b-c899dbd21c66.jpg,drop,"0,55",outputs/oof_official_image_audit/review_image_pairs/0063_drop_0.550_cd346003-8212-5461-843b-c899dbd21c66.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
64,fold_2,M13,8354353b-ccd5-4c42-b28f-0640a0524512.jpg,drop,"0,5476551974",outputs/oof_official_image_audit/review_image_pairs/0064_drop_0.548_8354353b-ccd5-4c42-b28f-0640a0524512.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
66,fold_3,M12,cf7db7ad-938a-5b84-94de-7240cce477de.jpg,drop,"0,5467915502",outputs/oof_official_image_audit/review_image_pairs/0066_drop_0.547_cf7db7ad-938a-5b84-94de-7240cce477de.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
69,fold_2,M13,6b9c14f4-ed53-4210-9d0a-3c3b6525d163.jpg,drop,"0,5428482312",outputs/oof_official_image_audit/review_image_pairs/0069_drop_0.543_6b9c14f4-ed53-4210-9d0a-3c3b6525d163.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
70,fold_2,M13,a6f485f7-82da-5a2b-8b2b-5d188bba95b5.jpg,drop,"0,5413149492",outputs/oof_official_image_audit/review_image_pairs/0070_drop_0.541_a6f485f7-82da-5a2b-8b2b-5d188bba95b5.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
72,fold_2,M13,b5f9ccad-c794-4260-8ef6-29363d81126e.jpg,drop,"0,5343953412",outputs/oof_official_image_audit/review_image_pairs/0072_drop_0.534_b5f9ccad-c794-4260-8ef6-29363d81126e.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
74,fold_1,M23,51b17581-5227-4c89-a4e4-3e2c4f23079a.jpg,drop,"0,5318435754",outputs/oof_official_image_audit/review_image_pairs/0074_drop_0.532_51b17581-5227-4c89-a4e4-3e2c4f23079a.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
76,fold_3,M12,a43da549-df51-4175-bb34-f81c1c40a43e.jpg,drop,"0,5304563152",outputs/oof_official_image_audit/review_image_pairs/0076_drop_0.530_a43da549-df51-4175-bb34-f81c1c40a43e.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
79,fold_2,M13,ccd5bc39-befa-4463-8bbf-943d584ca0e4.jpg,drop,"0,524457495",outputs/oof_official_image_audit/review_image_pairs/0079_drop_0.524_ccd5bc39-befa-4463-8bbf-943d584ca0e4.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
80,fold_2,M13,38217a79-5a77-466f-819b-ab9b9b1fc075.jpg,drop,"0,5232820032",outputs/oof_official_image_audit/review_image_pairs/0080_drop_0.523_38217a79-5a77-466f-819b-ab9b9b1fc075.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
81,fold_1,M23,d676c198-95c8-5633-8a2e-ed382c47c4a2.jpg,drop,"0,5219303221",outputs/oof_official_image_audit/review_image_pairs/0081_drop_0.522_d676c198-95c8-5633-8a2e-ed382c47c4a2.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
82,fold_2,M13,e21072a5-4d66-48ec-b102-660c5441d9c1.jpg,drop,"0,5212686567",outputs/oof_official_image_audit/review_image_pairs/0082_drop_0.521_e21072a5-4d66-48ec-b102-660c5441d9c1.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
88,fold_1,M23,1c94c095-e44e-510c-97f8-2bedf731e12a.jpg,drop,"0,5076337557",outputs/oof_official_image_audit/review_image_pairs/0088_drop_0.508_1c94c095-e44e-510c-97f8-2bedf731e12a.jpg,FALSE,TRUE,FALSE,FALSE,Quốc Huy,
90,fold_2,M13,6869be4c-e341-5f33-98da-4cab9c324dec.jpg,drop,"0,5025197373",outputs/oof_official_image_audit/review_image_pairs/0090_drop_0.503_6869be4c-e341-5f33-98da-4cab9c324dec.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
91,fold_3,M12,e6b2f502-7846-5dc6-b9db-f9a5e434035e.jpg,drop,"0,5",outputs/oof_official_image_audit/review_image_pairs/0091_drop_0.500_e6b2f502-7846-5dc6-b9db-f9a5e434035e.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
94,fold_2,M13,9c0e4b0f-ce1a-473a-8282-3c4cf6ef8c89.jpg,drop,"0,4955291331",outputs/oof_official_image_audit/review_image_pairs/0094_drop_0.496_9c0e4b0f-ce1a-473a-8282-3c4cf6ef8c89.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
97,fold_3,M12,7925d2cc-fbe6-464b-b153-9adbdaa5aaf9.jpg,drop,"0,4905028868",outputs/oof_official_image_audit/review_image_pairs/0097_drop_0.491_7925d2cc-fbe6-464b-b153-9adbdaa5aaf9.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
98,fold_2,M13,00a11c13-ceac-5c0a-ad8f-e895d5f30dde.jpg,drop,"0,4898847947",outputs/oof_official_image_audit/review_image_pairs/0098_drop_0.490_00a11c13-ceac-5c0a-ad8f-e895d5f30dde.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
102,fold_3,M12,3875e3a4-da38-46f3-a469-4018034e5701.jpg,drop,"0,4772727273",outputs/oof_official_image_audit/review_image_pairs/0102_drop_0.477_3875e3a4-da38-46f3-a469-4018034e5701.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
104,fold_2,M13,95843d53-6069-4dbb-8b92-3ef960f26ee8.jpg,drop,"0,4716666667",outputs/oof_official_image_audit/review_image_pairs/0104_drop_0.472_95843d53-6069-4dbb-8b92-3ef960f26ee8.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
105,fold_3,M12,26a7be42-5454-4bea-9cd5-06c3e0ae5d3a.jpg,drop,"0,4706337718",outputs/oof_official_image_audit/review_image_pairs/0105_drop_0.471_26a7be42-5454-4bea-9cd5-06c3e0ae5d3a.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
111,fold_1,M23,fb81b767-6253-43ec-b66a-8f4b068decec.jpg,drop,"0,4551383399",outputs/oof_official_image_audit/review_image_pairs/0111_drop_0.455_fb81b767-6253-43ec-b66a-8f4b068decec.jpg,FALSE,TRUE,FALSE,FALSE,Quốc Huy,
126,fold_2,M13,d5f983c0-6bfd-4cff-9505-2114e36360bc.jpg,drop,"0,4428855708",outputs/oof_official_image_audit/review_image_pairs/0126_drop_0.443_d5f983c0-6bfd-4cff-9505-2114e36360bc.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
132,fold_1,M23,8766c638-8289-46be-999d-cfbd98e22ca6.jpg,drop,"0,4332000584",outputs/oof_official_image_audit/review_image_pairs/0132_drop_0.433_8766c638-8289-46be-999d-cfbd98e22ca6.jpg,FALSE,TRUE,FALSE,FALSE,Quốc Huy,
159,fold_1,M23,c60f03be-05eb-4d04-8a77-d200f6a3ee7d.jpg,drop,"0,4017516979",outputs/oof_official_image_audit/review_image_pairs/0159_drop_0.402_c60f03be-05eb-4d04-8a77-d200f6a3ee7d.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
162,fold_1,M23,a7dcee9a-6e3f-46e4-8fcb-5533d8ef0843.jpg,review,"0,397012987",outputs/oof_official_image_audit/review_image_pairs/0162_review_0.397_a7dcee9a-6e3f-46e4-8fcb-5533d8ef0843.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
183,fold_2,M13,e46c3f9b-10a2-44f4-a861-850f71602cf6.jpg,review,"0,3721916823",outputs/oof_official_image_audit/review_image_pairs/0183_review_0.372_e46c3f9b-10a2-44f4-a861-850f71602cf6.jpg,TRUE,FALSE,FALSE,FALSE,Quốc Huy,
202,fold_1,M23,302de972-828c-4e0c-b642-943fc62e0fd3.jpg,review,"0,3558642591",outputs/oof_official_image_audit/review_image_pairs/0202_review_0.356_302de972-828c-4e0c-b642-943fc62e0fd3.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
205,fold_1,M23,29229ebb-988b-4f03-8d2a-75007faaa5f4.jpg,review,"0,3542205063",outputs/oof_official_image_audit/review_image_pairs/0205_review_0.354_29229ebb-988b-4f03-8d2a-75007faaa5f4.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
206,fold_3,M12,84fce83f-d6cc-54ae-8ba6-27af7f89be45.jpg,review,"0,3539826913",outputs/oof_official_image_audit/review_image_pairs/0206_review_0.354_84fce83f-d6cc-54ae-8ba6-27af7f89be45.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
208,fold_3,M12,53be618f-cff8-40d5-a0ee-4517a62fdffc.jpg,review,"0,3537523654",outputs/oof_official_image_audit/review_image_pairs/0208_review_0.354_53be618f-cff8-40d5-a0ee-4517a62fdffc.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
209,fold_2,M13,cd458285-33aa-5ffe-8d32-45ab294cdb16.jpg,review,"0,3530862756",outputs/oof_official_image_audit/review_image_pairs/0209_review_0.353_cd458285-33aa-5ffe-8d32-45ab294cdb16.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
210,fold_3,M12,5b016107-c471-4ef9-90c4-3b06112582d1.jpg,review,"0,3530821918",outputs/oof_official_image_audit/review_image_pairs/0210_review_0.353_5b016107-c471-4ef9-90c4-3b06112582d1.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
213,fold_1,M23,c3aefb70-4c87-55c2-a16e-68b2d5a297ac.jpg,review,"0,3495390675",outputs/oof_official_image_audit/review_image_pairs/0213_review_0.350_c3aefb70-4c87-55c2-a16e-68b2d5a297ac.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
216,fold_2,M13,36f98fdd-e96b-4ae4-8ab5-21171b446a50.jpg,review,"0,3467113004",outputs/oof_official_image_audit/review_image_pairs/0216_review_0.347_36f98fdd-e96b-4ae4-8ab5-21171b446a50.jpg,FALSE,TRUE,FALSE,FALSE,Bảo,
219,fold_3,M12,e443fde5-a0ed-4804-b64e-7c9018693371.jpg,review,"0,3453544141",outputs/oof_official_image_audit/review_image_pairs/0219_review_0.345_e443fde5-a0ed-4804-b64e-7c9018693371.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
220,fold_1,M23,ee7f0b47-59fb-54c8-b7a1-d6ec44627e0a.jpg,review,"0,3444464263",outputs/oof_official_image_audit/review_image_pairs/0220_review_0.344_ee7f0b47-59fb-54c8-b7a1-d6ec44627e0a.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
221,fold_2,M13,fe35fb2a-1dc1-481f-ae23-f00699f362b6.jpg,review,"0,3426631074",outputs/oof_official_image_audit/review_image_pairs/0221_review_0.343_fe35fb2a-1dc1-481f-ae23-f00699f362b6.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
224,fold_2,M13,045cd080-8505-5a4f-aec7-e8ec4524680f.jpg,review,"0,3405942699",outputs/oof_official_image_audit/review_image_pairs/0224_review_0.341_045cd080-8505-5a4f-aec7-e8ec4524680f.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
229,fold_2,M13,0dd99e29-a643-45b6-8ff4-89c6dcce88df.jpg,review,"0,3369976684",outputs/oof_official_image_audit/review_image_pairs/0229_review_0.337_0dd99e29-a643-45b6-8ff4-89c6dcce88df.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
230,fold_2,M13,872679f4-07a0-4e31-8c31-7dddbd14c43f.jpg,review,"0,3368456122",outputs/oof_official_image_audit/review_image_pairs/0230_review_0.337_872679f4-07a0-4e31-8c31-7dddbd14c43f.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
232,fold_2,M13,fa44549a-a1e4-53cc-acee-3a2b6233cd5e.jpg,review,"0,3349114269",outputs/oof_official_image_audit/review_image_pairs/0232_review_0.335_fa44549a-a1e4-53cc-acee-3a2b6233cd5e.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
233,fold_1,M23,9fc02f14-8feb-40c2-953d-cd54a065b368.jpg,review,"0,3342816711",outputs/oof_official_image_audit/review_image_pairs/0233_review_0.334_9fc02f14-8feb-40c2-953d-cd54a065b368.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
234,fold_3,M12,13e5999b-2046-53f0-99ec-00e05dcf716c.jpg,review,"0,3338755947",outputs/oof_official_image_audit/review_image_pairs/0234_review_0.334_13e5999b-2046-53f0-99ec-00e05dcf716c.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
235,fold_2,M13,4cbe45e3-5ae7-5b77-8428-6aefcbd782e5.jpg,review,"0,3334513559",outputs/oof_official_image_audit/review_image_pairs/0235_review_0.333_4cbe45e3-5ae7-5b77-8428-6aefcbd782e5.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
236,fold_2,M13,edb017ba-0439-46cf-a6f0-c7da25ff20e9.jpg,review,"0,333109897",outputs/oof_official_image_audit/review_image_pairs/0236_review_0.333_edb017ba-0439-46cf-a6f0-c7da25ff20e9.jpg,FALSE,TRUE,FALSE,FALSE,Bảo,
237,fold_1,M23,aa8d306a-505c-438d-920c-b8a5a5a6c9de.jpg,review,"0,3315037823",outputs/oof_official_image_audit/review_image_pairs/0237_review_0.332_aa8d306a-505c-438d-920c-b8a5a5a6c9de.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
241,fold_2,M13,b642159e-0d2d-4005-921d-1e22edfd45c5.jpg,review,"0,3285419157",outputs/oof_official_image_audit/review_image_pairs/0241_review_0.329_b642159e-0d2d-4005-921d-1e22edfd45c5.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
242,fold_1,M23,1e01fcc4-dbcb-4ebe-abc0-e4a382841021.jpg,review,"0,3283221024",outputs/oof_official_image_audit/review_image_pairs/0242_review_0.328_1e01fcc4-dbcb-4ebe-abc0-e4a382841021.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
243,fold_1,M23,94aefe28-a292-5c4c-bce2-fb43e1876854.jpg,review,"0,3281156165",outputs/oof_official_image_audit/review_image_pairs/0243_review_0.328_94aefe28-a292-5c4c-bce2-fb43e1876854.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
245,fold_1,M23,47ca0b29-b0d7-517e-93ce-c8c9b7e3d698.jpg,review,"0,3270425489",outputs/oof_official_image_audit/review_image_pairs/0245_review_0.327_47ca0b29-b0d7-517e-93ce-c8c9b7e3d698.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
247,fold_1,M23,ed60f7f1-80c6-4a07-b896-0152fdafce79.jpg,review,"0,32625",outputs/oof_official_image_audit/review_image_pairs/0247_review_0.326_ed60f7f1-80c6-4a07-b896-0152fdafce79.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
249,fold_2,M13,b28ecda4-f13f-4cad-bb04-8196d46b8696.jpg,review,"0,3250151458",outputs/oof_official_image_audit/review_image_pairs/0249_review_0.325_b28ecda4-f13f-4cad-bb04-8196d46b8696.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
250,fold_1,M23,eb2312ad-8b0a-4dac-a3cf-2e7662899c2b.jpg,review,"0,3244888665",outputs/oof_official_image_audit/review_image_pairs/0250_review_0.324_eb2312ad-8b0a-4dac-a3cf-2e7662899c2b.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
251,fold_3,M12,5d63096a-c8f7-514e-bb63-8a11f14bef18.jpg,review,"0,3242325701",outputs/oof_official_image_audit/review_image_pairs/0251_review_0.324_5d63096a-c8f7-514e-bb63-8a11f14bef18.jpg,FALSE,TRUE,FALSE,FALSE,Bảo,
252,fold_3,M12,3aa081eb-13c8-5eb5-baf1-7178d479bf1d.jpg,review,"0,3229115812",outputs/oof_official_image_audit/review_image_pairs/0252_review_0.323_3aa081eb-13c8-5eb5-baf1-7178d479bf1d.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
254,fold_3,M12,132dd201-e14f-5eb9-a8f7-417793a199a8.jpg,review,"0,3216602296",outputs/oof_official_image_audit/review_image_pairs/0254_review_0.322_132dd201-e14f-5eb9-a8f7-417793a199a8.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
255,fold_2,M13,5914e7ea-b102-497f-97ab-5e355d396825.jpg,review,"0,3211216045",outputs/oof_official_image_audit/review_image_pairs/0255_review_0.321_5914e7ea-b102-497f-97ab-5e355d396825.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
256,fold_2,M13,9d79760c-3cb0-5377-b651-8e35d0341d7c.jpg,review,"0,3206645034",outputs/oof_official_image_audit/review_image_pairs/0256_review_0.321_9d79760c-3cb0-5377-b651-8e35d0341d7c.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
257,fold_1,M23,1d0c0bfa-2bc7-5b28-abb2-010a22f0a459.jpg,review,"0,3201686343",outputs/oof_official_image_audit/review_image_pairs/0257_review_0.320_1d0c0bfa-2bc7-5b28-abb2-010a22f0a459.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
259,fold_1,M23,25034566-3f8f-5d6f-b95f-895806e8e9a3.jpg,review,"0,3189622372",outputs/oof_official_image_audit/review_image_pairs/0259_review_0.319_25034566-3f8f-5d6f-b95f-895806e8e9a3.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
260,fold_1,M23,422032b8-63d4-5343-94d8-62503a5de078.jpg,review,"0,3189166667",outputs/oof_official_image_audit/review_image_pairs/0260_review_0.319_422032b8-63d4-5343-94d8-62503a5de078.jpg,FALSE,TRUE,FALSE,FALSE,Bảo,
261,fold_2,M13,2de1bceb-bcc3-5ccb-9f57-49cb5cfd7676.jpg,review,"0,3178893035",outputs/oof_official_image_audit/review_image_pairs/0261_review_0.318_2de1bceb-bcc3-5ccb-9f57-49cb5cfd7676.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
262,fold_1,M23,b28c6c87-b7fa-5b46-89e0-042b37a64d8c.jpg,review,"0,3178455558",outputs/oof_official_image_audit/review_image_pairs/0262_review_0.318_b28c6c87-b7fa-5b46-89e0-042b37a64d8c.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
264,fold_2,M13,9d047690-c9e0-5ed8-86ba-8e7cfe210ae1.jpg,review,"0,3166636287",outputs/oof_official_image_audit/review_image_pairs/0264_review_0.317_9d047690-c9e0-5ed8-86ba-8e7cfe210ae1.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
270,fold_3,M12,bbed68e2-1425-4293-a053-b5222a7a3cd8.jpg,review,"0,3155770017",outputs/oof_official_image_audit/review_image_pairs/0270_review_0.316_bbed68e2-1425-4293-a053-b5222a7a3cd8.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
